Firm,Product,Complaints per 1000,Upheld%,Closed 8 weeks+%,FOS Upheld%,FOS cases per 1m
BARCLAYS PLC,Banking and credit cards,3.814922817,0.770998449,0.086145323,0.276350309,123.0754178
LLOYDS BANKING GROUP PLC,Banking and credit cards,2.037623684,0.670829034,0.107739265,0.28374198,187.2817877
THE ROYAL BANK OF SCOTLAND GROUP,Banking and credit cards,2.832437141,0.606382386,0.053862475,0.324265691,94.57443348
NATIONWIDE BUILDING SOCIETY,Banking and credit cards,2.296111749,0.565148255,0.040639378,0.251962884,39.20602913
HSBC HOLDINGS PLC,Banking and credit cards,2.807952937,0.603007376,0.003480895,0.281956491,97.91263653
BANCO SANTANDER SA,Banking and credit cards,2.34,0.473,0.0151,0.311994559,255.2650407
MONZO BANK LIMITED,Banking and credit cards,2.31,0.3008,0.0776,0.347593583,184.6225257
TSB BANKING GROUP,Banking and credit cards,3.07,0.5568,0.0225,0.241042345,92.50609861
CAPITAL ONE FINANCIAL CORP,Banking and credit cards,4.55,0.3346,0.022,0.222677596,211.6494761
PROVIDENT FINANCIAL PLC,Banking and credit cards,16.32,0.1654,0.0366,0.261629151,5482.931229
STARLING BANK LIMITED,Banking and credit cards,4.52,0.3679,0.001,0.210180624,141.8871019
AMERICAN EXPRESS,Banking and credit cards,4.07,0.3437,0.0005,0.332409972,278.8886199
JPMORGAN CHASE & CO,Banking and credit cards,1.37,0.466,0.0008,0.299465241,47.60568615
METRO BANK PLC,Banking and credit cards,3.45,0.4502,0.0026,0.305177112,151.5476555
CO-OPERATIVE GROUP LIMITED,Banking and credit cards,2.62,0.6765,0.0392,0.398601399,85.59498053
J SAINSBURY PLC,Banking and credit cards,1.828043022,0.373941466,0.014726123,0.235330361,68.91078856
SKIPTON BUILDING SOCIETY,Banking and credit cards,2.81,0.8101,0.0881,0.25,34.38477226
ZOPA HOLDINGS INC,Banking and credit cards,4.06,0.3999,0.0042,0.21,587.3676782
ClearBank Limited,Banking and credit cards,1.44,0.6994,0.0046,0.260869565,38.70967742
COVENTRY BUILDING SOCIETY,Banking and credit cards,1.41,0.6259,0.0006,0,8.971367975
BNP PARIBAS,Banking and credit cards,4.500153988,0.394987846,0.034543936,0.410858431,804.434863
ONESAVINGS BANK PLC,Banking and credit cards,3.292791145,0.520346433,0.076225028,0,51.66127311
LEEDS BUILDING SOCIETY,Banking and credit cards,2.26,0.6307,0,0,19.84943538
YORKSHIRE BUILDING SOCIETY,Banking and credit cards,0.655006794,0.788170374,0.002220923,0.288888889,12.3803482
BANK OF IRELAND GROUP PLC,Banking and credit cards,2.3,0.4616,0.0432,0.485110997,1683.947249
DANSKE BANK A/S,Banking and credit cards,1.51,0.3595,0.0007,0,42.86026201
IKANO,Banking and credit cards,4.33,0.3943,0.0602,0.230769231,123.9867841
